course_number,organ_system,disease_name,pinyin,sub_patterns,source_file
16,Spleen and Stomach Disorders,Dysphagia Occlusion Syndrome,ye ge,Congestion of Qi and Phlegm; Depletion of fluids with accumulation of Heat; Accumulation of Blood stasis; Deficiency of Qi with devitalization of Yang,"LEC 6 dysphagia, dyspnea, edema.pdf"
17,Lung System Disorders,Dyspnea,chuan zheng,Wind-Cold invasion; Wind-Cold exterior with Phlegm-Fluid interior; Cold exterior with Heat interior; Phlegm-Heat in Lungs; Lung Qi obstruction; Liver Fire attacking Lungs; Lung Qi deficiency; Lung-Kidney Yang deficiency; Lung-Heart-Kidney Yang deficiency; Lung Yin deficiency; Lung-Kidney Yin deficiency,"LEC 6 dysphagia, dyspnea, edema.pdf"
18,Kidney and Bladder Disorders,Edema,shui zhong,Yang edema: Wind-Water invading Wei Qi; Fire poison; Dampness; Damp-Heat. Yin edema: Spleen Yang deficiency; Kidney Yang deficiency,"LEC 6 dysphagia, dyspnea, edema.pdf"
19,Spleen and Stomach Disorders,Epigastric Pain,wei tong,Cold invading Stomach; Food retention; Liver Qi invading Stomach; Stomach Fire; Stomach Phlegm-Fire; Stomach Damp-Heat; Stomach and Liver Heat; Blood stasis in Stomach; Phlegm-Fluids in Stomach; Stomach-Spleen deficient Cold; Stomach Yin deficiency,"LEC 07 Epigastric pain, epilepsy, fainting 2.pdf"
20,Heart and Mind Disorders,Epilepsy,xian zheng,Wind-Phlegm obstruction; Internal profusion of Phlegm-Fire; Liver-Kidney Yin deficiency; Spleen-Stomach Qi deficiency,"LEC 07 Epigastric pain, epilepsy, fainting 2.pdf"
21,Heart and Mind Disorders,Fainting,jue zheng,Excess Qi syncope; Deficient Qi syncope; Excess Blood syncope; Deficient Blood syncope; Phlegm syncope; Food syncope; Summer-Heat syncope,"LEC 07 Epigastric pain, epilepsy, fainting 2.pdf"
22,Liver and Gallbladder Disorders,Goitre,ying bing,Qi stagnation with Phlegm; Qi stagnation with Spleen Qi deficiency and Phlegm; Liver Fire blazing with Phlegm-Heat; Phlegm and Blood stasis; Liver-Heart Yin deficiency with Phlegm,"LEC 08 goitre, headache, hiccup & belching.pdf"
23,Liver and Gallbladder Disorders,Headache,tou tong,Exterior Wind-Cold; Exterior Wind-Heat; Exterior Wind-Damp; Liver Yang rising; Liver Fire; Liver Wind; Liver Qi stagnation; Cold stagnation in Liver channel; Dampness; Turbid Phlegm; Turbid Phlegm-Wind; Food retention; Blood stasis; Stomach Heat; Qi deficiency; Blood deficiency; Kidney deficiency,"LEC 08 goitre, headache, hiccup & belching.pdf"
24,Spleen and Stomach Disorders,Hiccoughing and Belching,e ni,Stomach Cold; Effulgent Stomach Fire; Liver Qi stagnation; Spleen-Stomach Yang deficiency; Stomach Yin deficiency; Food retention,"LEC 08 goitre, headache, hiccup & belching.pdf"
25,Liver and Gallbladder Disorders,Hypochondrial Pain,xie tong,Liver Qi stagnation; Blood stasis; Damp-Heat in Liver and Gallbladder; Liver Blood deficiency; Liver Yin deficiency,"LEC 9 Hypochonriac pain, impediment, impotence (1).pdf"
26,Channel and Body Disorders,Impediment Syndrome,bi zheng,Migratory Bi/Wind Bi; Painful Bi/Cold Bi; Fixed Bi/Damp Bi; Heat Bi; Chronic Phlegm accumulation with Blood stasis; Qi and Blood deficiency,"LEC 9 Hypochonriac pain, impediment, impotence (1).pdf"
27,Kidney and Bladder Disorders,Impotence,yang wei,Debilitation of Mingmen Fire; Kidney deficiency; Damp-Heat pouring downward into the lower burner,"LEC 9 Hypochonriac pain, impediment, impotence (1).pdf"
28,Heart and Mind Disorders,Insomnia,bu mei,Liver Fire blazing; Heart Fire blazing; Phlegm-Fire harassing the mind; Residual Heat in the diaphragm; Heart-Spleen deficiency; Heart Yin deficiency; Heart-Kidney disharmony; Heart-Gallbladder deficiency; Liver Yin deficiency,"LEC 10 Insomnia, internal damage fever, ischuria.pdf"
29,"Qi, Blood, and Fluid Disorders",Internal Damage Fever,nei shang fa re,Qi stagnation fever; Blood stasis fever; Qi deficiency fever; Blood deficiency fever; Yin deficiency fever,"LEC 10 Insomnia, internal damage fever, ischuria.pdf"
30,Kidney and Bladder Disorders,Ischuria,long bi,Heat or Damp-Heat accumulation in Bladder; Lung Heat congestion; Liver Qi stagnation; Decline of Mingmen Fire / Kidney Qi or Yang insufficiency; Spleen Qi deficiency; Meridian Qi damage / internal Blood stasis obstruction / traumatic injury,"LEC 10 Insomnia, internal damage fever, ischuria.pdf"
31,Liver and Gallbladder Disorders,Jaundice,huang dan,Yang jaundice: Damp-Heat in middle burner with Heat predominant; Yang jaundice: Damp-Heat in middle burner with Damp predominant; Extreme repletion of Heat toxins; Yin jaundice: Cold-Damp in middle burner,"LEC 11 Jaundice, lumbago, lung distension.pdf"
32,Kidney and Bladder Disorders,Lumbago,yao tong,Cold-Damp invasion; Qi and Blood stagnation; Kidney deficiency,"LEC 11 Jaundice, lumbago, lung distension.pdf"
33,Lung System Disorders, Lung Distention,fei zhang,Phlegm-Turbidity obstructing Lung; Phlegm-Heat accumulating in Lung; Phlegm veiling Heart orifice; Qi deficiency of Lung and Kidney; Water retention due to Yang deficiency,"LEC 11 Jaundice, lumbago, lung distension.pdf"
34,Liver and Gallbladder Disorders,Malaria,nue ji,Typical malaria; Warm malaria; Cold malaria; Taxation malaria; Miasmic malaria,"LEC 12 Malaria, mania, palpitation.pdf"
35,Heart and Mind Disorders,Mania / Manic-Depressive Disorder,dian kuang,Depressive psychotic pattern: Binding depression of Qi and Phlegm; Depressive psychotic pattern: Heart-Spleen deficiency; Manic psychotic pattern: Phlegm-Fire harassing interior; Manic psychotic pattern: Exuberant Fire with injury to Yin,"LEC 12 Malaria, mania, palpitation.pdf"
36,Heart and Mind Disorders,Palpitation,xin ji,Heart-Gallbladder Qi deficiency disturbing the mind; Qi and Heart Blood insufficiency; Heart Fire hyperactivity due to Heart-Kidney Yin deficiency / Heart-Kidney disharmony / Yin deficiency with effulgent Fire; Heart Yang deficiency; Heart oppressed by Water and Phlegm-Fluid; Heart obstructed by Blood stasis,"LEC 12 Malaria, mania, palpitation.pdf"
37,Lung System Disorders,Pulmonary Abscess,fei yong,Initial stage; Suppurative stage; Perforating stage; Recovery stage,"LEC 13 Pulmonary abscess, pulmonary tuberculosis, seminal emission.pdf"
38,Lung System Disorders,Pulmonary Tuberculosis,fei lao,Lung Yin deficiency; Yin deficiency with effulgent Fire; Qi and Yin deficiency; Yin and Yang deficiency,"LEC 13 Pulmonary abscess, pulmonary tuberculosis, seminal emission.pdf"
39,Kidney and Bladder Disorders,Seminal Emission,yi jing,Heart Fire hyperactivity with Kidney Yin deficiency; Downward flow of Damp-Heat; Heart-Spleen deficiency; Kidney deficiency,"LEC 13 Pulmonary abscess, pulmonary tuberculosis, seminal emission.pdf"
40,Lung System Disorders,Spontaneous Sweats and Night Sweats,zi han / dao han,Spontaneous sweat: Lung Qi deficiency; disharmony between Ying and Wei; stagnation of pathogenic Heat. Night sweat: Blood deficiency; Yin deficiency of Lung/Kidney with empty Heat,"LEC 14 Sweating, stranguria, tinnitus.pdf"
41,Kidney and Bladder Disorders,Stranguria,lin zheng,Heat Lin; Stone Lin; Blood Lin; Qi Lin; Sticky/Cloudy Lin; Fatigue Lin,"LEC 14 Sweating, stranguria, tinnitus.pdf"
42,Kidney and Bladder Disorders,Tinnitus and Deafness,er ming er long,Liver-Gallbladder Fire rising; Wind-Heat invasion; Phlegm-Fire flaring upward; Kidney Essence deficiency; Spleen-Stomach Qi deficiency,"LEC 14 Sweating, stranguria, tinnitus.pdf"
43,Liver and Gallbladder Disorders,Vertigo,xuan yun,"Liver Yang, Liver Fire, or Liver Wind rising; Turbid Phlegm in head / Phlegm retention in middle burner; Qi and Blood deficiency; Kidney Essence deficiency","LEC 15 Vertigo, vomiting, watery phlegm  (2).pdf"
44,Spleen and Stomach Disorders,Vomiting,ou tu,Exogenous evils invading Stomach; Food retention; Phlegm-Damp retention; Liver Qi invading Stomach; Spleen-Stomach deficiency Cold; Stomach Yin deficiency,"LEC 15 Vertigo, vomiting, watery phlegm  (2).pdf"
45,"Qi, Blood, and Fluid Disorders",Watery Phlegm / Sputum,tan yin,Tan Yin: Phlegm-Fluid retention in Stomach and intestines; Spleen Yang deficiency; Fluid retention in Stomach and intestines. Xuan Yin: Pleural fluid retention; pathogenic factors attacking chest and Lung; fluid retention in chest and hypochondrium; Qi obstruction in collaterals; internal Heat due to Yin deficiency. Yi Yin: subcutaneous fluid retention. Zhi Yin: thoracic fluid retention; Cold-Fluid retention in Lung; Spleen-Kidney Yang deficiency,"LEC 15 Vertigo, vomiting, watery phlegm  (2).pdf"
46,Lung System Disorders,Wheezing Syndrome,xiao zheng,Acute cold Phlegm; Acute hot Phlegm; Chronic Lung deficiency; Chronic Spleen deficiency; Chronic Kidney deficiency,"LEC 16 wheezing, wind stroke, abdominal mass  (1).pdf"
47,Heart and Mind Disorders,Wind Stroke,zhong feng,Attack of channels and collaterals; Attack of internal organs: tense type; Attack of internal organs: flaccid type; Sequelae: Wind-Phlegm; Damp-Phlegm; Qi and Blood stagnation; Yin deficiency with empty Heat,"LEC 16 wheezing, wind stroke, abdominal mass  (1).pdf"
76,Gynecology and Obstetrics (Fu Ke),Abdominal Masses / Zheng Jia,zheng jia,Stagnation of Qi; Blood stasis; Phlegm-Dampness,"LEC 16 wheezing, wind stroke, abdominal mass  (1).pdf"
77,Gynecology and Obstetrics (Fu Ke),Amenorrhea,bi jing,Liver-Kidney deficiency; Depletion of Yin and dryness of Blood; Qi and Blood deficiency; Qi stagnation with Blood stasis; Phlegm-Damp obstruction in uterus,"LEC 17 amenorrhea, unstable pregnancy, dysmenorrhea.pdf"
78,Gynecology and Obstetrics (Fu Ke),Bleeding During Pregnancy / Unstable Pregnancy,tai lou / tai dong bu an,Kidney deficiency; Qi and Blood deficiency; Blood Heat; Blood stasis / trauma,"LEC 17 amenorrhea, unstable pregnancy, dysmenorrhea.pdf"
79,Gynecology and Obstetrics (Fu Ke),Dysmenorrhea,tong jing,Cold-Damp coagulation; Liver Qi stagnation; Damp-Heat descending; Yang deficiency with internal Cold; Liver-Kidney deficiency; Qi and Blood deficiency,"LEC 17 amenorrhea, unstable pregnancy, dysmenorrhea.pdf"
80,Gynecology and Obstetrics (Fu Ke),Infertility,bu yun,Kidney Yang deficiency; Kidney Yin deficiency; Blood deficiency; Cold in uterus; Dampness in lower burner; Blood stasis; Qi stagnation; Blood Heat,"LEC 18 infertility, insufficient lactation, intermenstrual bleeding.pdf"
81,Gynecology and Obstetrics (Fu Ke),Insufficient Breastmilk,que ru,Qi and Blood deficiency; Liver Qi stagnation,"LEC 18 infertility, insufficient lactation, intermenstrual bleeding.pdf"
82,Gynecology and Obstetrics (Fu Ke),Intermenstrual Bleeding,jing jian qi chu xue,Liver-Kidney Yin deficiency with empty Heat; Damp-Heat; Blood stasis; Spleen-Kidney Yang deficiency,"LEC 18 infertility, insufficient lactation, intermenstrual bleeding.pdf"
83,Gynecology and Obstetrics (Fu Ke),Irregular Menstruation,yue jing bu tiao,"Early periods: Blood Heat, full Heat, Heat accumulation, stagnant Liver Qi turning into Fire with Blood Heat, empty Heat, Qi deficiency, Spleen Qi deficiency, Kidney Qi deficiency. Late periods: Blood deficiency, Cold excess/deficiency, Qi stagnation. Unpredictable periods: Liver Qi stagnation, Kidney deficiency","LEC 19 Irregular period, leucorrhea, lochirrhea.pdf"
84,Gynecology and Obstetrics (Fu Ke),Leukorrhagia,dai xia,Spleen Qi deficiency; Kidney Yang deficiency; Kidney Yin deficiency; Damp-Heat pouring downward; Toxic Heat; Liver Qi stagnation,"LEC 19 Irregular period, leucorrhea, lochirrhea.pdf"
85,Gynecology and Obstetrics (Fu Ke),Lochiorrhea,chan hou e lu bu jue,Qi deficiency; Blood stasis; Blood Heat,"LEC 19 Irregular period, leucorrhea, lochirrhea.pdf"
86,Gynecology and Obstetrics (Fu Ke),Menstrual Breast Aching,jing xing ru fang zhang tong,Liver Qi stagnation; Liver Blood stasis; Phlegm with Qi stagnation; Liver-Kidney Yin deficiency,"LEC 20 menstrual breast aching, edema, headache.pdf"
87,Gynecology and Obstetrics (Fu Ke),Menstrual Edema,jing xing fu zhong,Spleen-Kidney Yang deficiency; Qi stagnation,"LEC 20 menstrual breast aching, edema, headache.pdf"
88,Gynecology and Obstetrics (Fu Ke),Menstrual Headache,jing xing tou tong,Blood deficiency; Liver Fire blazing; Liver Yang rising; Blood stasis,"LEC 20 menstrual breast aching, edema, headache.pdf"
89,Gynecology and Obstetrics (Fu Ke),Menstrual Hematemesis and Epistaxis,jing xing tu niu,Stagnant Liver Qi turning into Fire; Lung-Kidney Yin deficiency,"LEC 21 menstrual hematemesis & epistaxis, mental disorder, oral ulcer.pdf"
90,Gynecology and Obstetrics (Fu Ke),Menstrual Mental Disorder,jing xing qing zhi yi chang,Liver Qi stagnation; Phlegm-Fire harassing upward; Liver Blood deficiency; Liver-Kidney Yin deficiency; Spleen-Kidney Yang deficiency,"LEC 21 menstrual hematemesis & epistaxis, mental disorder, oral ulcer.pdf"
91,Gynecology and Obstetrics (Fu Ke),Menstrual Oral Ulcer,jing xing kou mei,Kidney Yin deficiency with empty Heat; Stomach Fire or Stomach Damp-Heat; Stomach Damp-Heat with Spleen deficiency,"LEC 21 menstrual hematemesis & epistaxis, mental disorder, oral ulcer.pdf"
92,Gynecology and Obstetrics (Fu Ke),Metrorrhagia and Metrostaxis,beng lou,Blood Heat; Liver Qi stagnation turning into Heat; Blood empty Heat; Blood stasis; Damp-Heat in uterus; Spleen not holding Blood; Kidney Yang deficiency; Kidney Yin deficiency,"LEC 22 metrorrhagia, miscarriage, morning sickness.pdf"
93,Gynecology and Obstetrics (Fu Ke),Miscarriage / Habitual Miscarriage,zhui tai / xiao chan / hua tai,Kidney Yang deficiency; Kidney Yin deficiency; Blood Heat; Spleen Qi deficiency; Blood deficiency; Blood stasis,"LEC 22 metrorrhagia, miscarriage, morning sickness.pdf"
94,Gynecology and Obstetrics (Fu Ke),Morning Sickness,ren chen e zu,Stomach Qi deficiency with empty Cold; Stomach Yin deficiency; Stagnant Liver Qi invading Stomach; Stomach Heat; Accumulation of Phlegm; Heart Qi deficiency; Heart Fire,"LEC 22 metrorrhagia, miscarriage, morning sickness.pdf"
95,Gynecology and Obstetrics (Fu Ke),Perimenopausal Syndrome,jue jing qian hou zhu zheng,Kidney Yin deficiency; Kidney Yang deficiency; Kidney Yin and Yang deficiency; Kidney-Liver Yin deficiency with Liver Yang rising; Kidney-Heart disharmony; Phlegm accumulation with Qi stagnation; Blood stasis,"LEC 23 Perimenopausal syndrome, postpartum abdominal pain, postpartum convulsion.pdf"
96,Gynecology and Obstetrics (Fu Ke),Postpartum Abdominal Pain,chan hou fu tong,Blood deficiency; Blood stasis; Food retention,"LEC 23 Perimenopausal syndrome, postpartum abdominal pain, postpartum convulsion.pdf"
97,Gynecology and Obstetrics (Fu Ke),Postpartum Convulsion,chan hou jing zheng,Blood and Yin deficiency with empty Wind; Exterior invasion of toxin,"LEC 23 Perimenopausal syndrome, postpartum abdominal pain, postpartum convulsion.pdf"
98,Gynecology and Obstetrics (Fu Ke),Postpartum Dizziness,chan hou xue yun,Blood depletion with Qi desertion; Blood stasis with Qi blockage,"LEC 24 Postpartum dizziness, fever, retention of urine, uterine prolapse.pdf"
99,Gynecology and Obstetrics (Fu Ke),Postpartum Fever,chan hou fa re,Invasion of external toxins; Invasion of external Wind; Blood deficiency; Blood stasis; Steaming breast; Food retention,"LEC 24 Postpartum dizziness, fever, retention of urine, uterine prolapse.pdf"
100,Gynecology and Obstetrics (Fu Ke),Postpartum Retention of Urine,chan hou pai niao yi chang,Spleen Qi deficiency; Lung-Spleen Qi deficiency; Kidney Qi deficiency; Injury to Bladder,"LEC 24 Postpartum dizziness, fever, retention of urine, uterine prolapse.pdf"
101,Gynecology and Obstetrics (Fu Ke),Uterine Prolapse,yin ting,Spleen Qi deficiency; Kidney deficiency,"LEC 24 Postpartum dizziness, fever, retention of urine, uterine prolapse.pdf"
